Comment,Description,Designator,LibRef,Quantity,Digikey,Digikey Link,MF,MP,Package,Price,Rating,Value

"10nF","CAP CER 10000PF 50V X7R 0805","C1, C2, C3","Cap 10nF 0805","3","311-1136-1-ND","https://www.digikey.ca/product-detail/en/yageo/CC0805KRX7R9BB103/311-1136-1-ND/303046","Yageo","CC0805KRX7R9BB103","0805","0,1 CAD","50V","10nF"
"1uF","CAP CER 1UF 50V X7R 0805","C4, C5, C6, C8","CAP 1uF 0805","4","1276-1029-1-ND","https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNNNE/1276-1029-1-ND/3889115","Samsung Electro-Mechanics","CL21B105KBFNNNE","0805","0,172 CAD","50V","1uF"
"100nF","CAP CER 0.1UF 50V X7R 0805","C7","CAP 100nF 0805","1","311-1140-1-ND","https://www.digikey.ca/products/en?keywords=311-1140-1-ND","Yageo","CC0805KRX7R9BB104","0805","0,119 CAD","50V","100nF"
"1nF","CAP CER 1000PF 50V X7R 0805","C9","CAP 1nF 0805","1","311-1127-1-ND","https://www.digikey.ca/products/en?keywords=311-1127-1-ND","Yageo","CC0805KRX7R9BB102","0805","0,1 CAD","50V","1nF"
"LED2","Typical RED, GREEN, YELLOW, AMBER GaAs LED","D1, D2","LED RED SMD","2","160-1181-1-ND","https://www.digikey.ca/products/en?keywords=160-1181-1-ND","Lite-On Inc.","LTST-C190CKT","0603","","1.8V",""
"Fuse 1206","10A 32V AC 63V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 1206 (3216 Metric)","F4, F5, F6","F?","3","486-1686-1-ND","https://www.digikey.ca/products/en?keywords=486-1686-1-ND","Schurter Inc.","3413.0328.22","","","10A",""
"Motor Molex Connector","Connector Header Through Hole 8 position 0.165" (4.20mm)","J1","Motor Molex","1","WM3803-ND","https://www.digikey.ca/products/en?keywords=WM3803-ND","Molex","0039281083","","1.624 CAD","","N/A"
"Header 6","Header, 6-Pin","P2","Header 6","1","","","","","","","",""
"Header 12","Header, 12-Pin","P3","Header 12","1","","","","","","","",""
"Header 4","Header, 4-Pin","P4","Header 4","1","","","","","","","",""
"Header 2","Header, 2-Pin","P5","Header 2","1","","","","","","","",""
"XT60","XT60 CONNECTORS FEMALE PAIR","P6","XT60 Connector","1","1568-1816-ND","https://www.digikey.ca/product-detail/en/sparkfun-electronics/PRT-10474/1568-1816-ND/8258064","SparkFun Electronics","PRT-10474","XT60","2.13000 CAD","","N/A"
"N-Channel","MOSFET N-CH 30V 18.5A 8-SOIC","Q1, Q2, Q3, Q4, Q5, Q6","Mosfet N Channel 8-SOIC","6","FDS8813NZCT-ND","https://www.digikey.ca/product-detail/en/on-semiconductor/FDS8813NZ/FDS8813NZCT-ND/1626932","ON Semiconductor","FDS8813NZ","8-SOIC","1.727 CAD","30V",""
"0 Ohm","RES SMD 0 OHM JUMPER 1/8W 0805","R1, R2, R3, R4, R5, R6","RES 0 Ohm 0805","6","311-0.0ARCT-ND","https://www.digikey.ca/products/en?keywords=311-0.0ARCT-ND","Yageo","RC0805JR-070RL","0805","0.058 CAD","0.125W","0"
"20mOhm","RES 0.02 OHM 1% 1/2W 0805","R7","RES 20mOhm 0805","1","P.02AQCT-ND","https://www.digikey.ca/products/en?keywords=P.02AQCT-ND","Panasonic Electronic Components","ERJ-6BWFR020V","0805","0.088 CAD","0.5W","20mOhm"
"100k","RES SMD 100K OHM 1% 1/8W 0805","R8","RES 100k 0805","1","311-100KCRCT-ND","https://www.digikey.ca/products/en?keywords=311-100KCRCT-ND","Yageo","RC0805FR-07100KL","0805","0.058 CAD","0.125W","100k"
