Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Digikey~String~Digikey~100|Field=Digikey Link~String~Digikey Link~100|Field=MF~String~MF~100|Field=MP~String~MP~100|Field=Package~String~Package~100|Field=Price~String~Price~100|Field=Rating~String~Rating~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~motordriver-v2.0.PrjPCB|ReportField=ProjectFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PrjPCB|ReportField=Title~Bill of Materials For Project [motordriver-v2.0.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~2:43:17 PM|ReportField=ReportDate~2020-03-08|ReportField=ReportDateTime~2020-03-08 2:43:17 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~53|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2020-03-08|ReportField=CurrentTime~2:40:09 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.SchDoc|ReportField=DocumentName~motordriver-v2.0.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2020-02-18|ReportField=Organization~|ReportField=ProjectName~motordriver-v2.0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~motordriver-v2.0.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PrjPCB|ReportField=PCBDataSourceFileName~motordriver-v2.0.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Hannah\Desktop\Thunderbots\PCB_MotorDriver\motordriver-v2.0\pcb\motordriver-v2.0.PcbDoc|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|82nF|0.082µF ±5% 50V Ceramic Capacitor X7R 0805 (2012 Metric)|C1, C2, C3|CAP 82nF 0805|3|311-4285-1-ND|https://www.digikey.ca/product-detail/en/yageo/CC0805JRX7R9BB823/311-4285-1-ND/8025374|Yageo|CC0805JRX7R9BB823|0805|0.223 CAD|50V|82nF
2|1uF|CAP CER 1UF 50V X7R 0805|C4, C5, C6, C8|CAP 1uF 0805|4|1276-1029-1-ND|https://www.digikey.ca/product-detail/en/samsung-electro-mechanics/CL21B105KBFNNNE/1276-1029-1-ND/3889115|Samsung Electro-Mechanics|CL21B105KBFNNNE|0805|0,172 CAD|50V|1uF
3|100nF|CAP CER 0.1UF 50V X7R 0805|C7|CAP 100nF 0805|1|311-1140-1-ND|https://www.digikey.ca/products/en?keywords=311-1140-1-ND|Yageo|CC0805KRX7R9BB104|0805|0,119 CAD|50V|100nF
4|1nF|CAP CER 1000PF 50V X7R 0805|C9|CAP 1nF 0805|1|311-1127-1-ND|https://www.digikey.ca/products/en?keywords=311-1127-1-ND|Yageo|CC0805KRX7R9BB102|0805|0.1 CAD|50V|1nF
5|LED2|Typical RED, GREEN, YELLOW, AMBER GaAs LED|D1, D2, D3|LED GREEN SMD|3|160-1446-1-ND|https://www.digikey.ca/products/en?keywords=160-1446-1-ND|Lite-On Inc.|LTST-C191KGKT|0603||2V|
6|Fuse 10A 1206|10A 32V AC 63V DC Fuse Board Mount (Cartridge Style Excluded) Surface Mount 1206 (3216 Metric)|F1, F2, F3|Fuse 10A 1206|3|486-1686-1-ND|https://www.digikey.ca/products/en?keywords=486-1686-1-ND|Schurter Inc.|3413.0328.22|||10A|
7|Motor Molex Connector|Connector Header Through Hole 8 position 0.165" (4.20mm)|J1|Motor Molex|1|WM3803-ND|https://www.digikey.ca/products/en?keywords=WM3803-ND|Molex|0039281083||1.624 CAD||N/A
8|CONN HEADER VERT 6POS 3.96MM|Connector Header Through Hole 6 position 0.156" (3.96mm)|JM|CONN HEADER VERT 6POS 3.96MM|1|https://www.digikey.ca/product-detail/en/te-connectivity-amp-connectors/1877285-6/A99849-ND/2000097|A99849-ND|TE Connectivity|1877285-6||||
9|Header 6|Header, 6-Pin|P2|Header 6|1||||||||
10|Header 12|Header, 12-Pin|P3|Header 12|1||||||||
11|Header 4|Header, 4-Pin|P4|Header 4|1||||||||
12|N-Channel|MOSFET N-CH 30V 18.5A 8-SOIC|Q1, Q2, Q3, Q4, Q5, Q6|Mosfet N Channel 8-SOIC|6|FDS8813NZCT-ND|https://www.digikey.ca/product-detail/en/on-semiconductor/FDS8813NZ/FDS8813NZCT-ND/1626932|ON Semiconductor|FDS8813NZ|8-SOIC|1.727 CAD|30V|
